"case_id","title","full_name","email","phone","mobile","company_name","job_title","department","country","city","industry","company_size","revenue_krw","website","owner","lead_status","lifecycle_stage","score","utm_source","utm_medium","utm_campaign","last_activity_date","amount_krw","created_date","consent_status","expected_dynamic_match","notes","automation_enabled","priority","expected_create_success","expected_fail_reason","title_override","title_should_be_valid","company_select_text","contact_select_text"
"QA_DYN_001","qa_dyn_match_001","Kim Minsoo","qa_dyn_001@example.com","","","삼성전자(주)","","","","","","","","https://recatch-qa.example.com","","","","","","","","","5000000","","","TRUE","기본 조건충족(고액+구독중)","TRUE","P1","TRUE","","","TRUE","삼성전자(주)",""
"QA_DYN_002","qa_dyn_match_002","Lee Jiyoon","qa_dyn_002@example.com","","","LG전자(주)","","","","","","","","https://blueorbit.example.com","","","","","","","","","2200000","","","TRUE","조건충족(다른 산업/부서)","TRUE","P1","TRUE","","","TRUE","LG전자(주)",""
"QA_DYN_003","qa_dyn_unmatch_001","Park Hyunwoo","qa_dyn_003@example.com","","","SK하이닉스(주)","","","","","","","","https://monolabs.example.com","","","","","","","","","100000","","","FALSE","미충족(금액 낮음)","TRUE","P2","TRUE","","","TRUE","SK하이닉스(주)",""
"QA_DYN_004","qa_dyn_boundary_001","Choi Aram","qa_dyn_004@example.com","","","현대자동차(주)","","","","","","","","https://nova-energy.example.com","","","","","","","","","1000000","","","TRUE","경계값(amount==threshold)","TRUE","P1","TRUE","","","TRUE","현대자동차(주)",""
"QA_DYN_005","qa_dyn_null_001","Jung Sora","qa_dyn_005@example.com","","","롯데케미칼(주)","","","","","","","","https://aster-logi.example.com","","","","","","","","","","","","FALSE","null 필드(phone/money) 허용성 확인","TRUE","P2","TRUE","","","TRUE","롯데케미칼(주)",""
"QA_DYN_006","qa_dyn_dup_email_001","Kim Minsoo","qa_dyn_001@example.com","","","삼성전자(주)","","","","","","","","https://recatch-qa.example.com","","","","","","","","","5000000","","","TRUE","중복 이메일 시나리오(중복 집계 방지 확인)","TRUE","P2","TRUE","","","TRUE","삼성전자(주)",""
"QA_DYN_007","qa_dyn_unicode_001","Wěi Wáng","qa_dyn_007@example.com","","","카카오(주)","","","","","","","","https://weiwang.example.cn","","","","","","","","","3000000","","","TRUE","다국어/유니코드 데이터 검증","TRUE","P2","TRUE","","","TRUE","카카오(주)",""
"QA_DYN_008","qa_dyn_optout_001","Han Yerin","qa_dyn_008@example.com","","","네이버(주)","","","","","","","","https://orbit-retail.example.com","","","","","","","","","4500000","","","FALSE","수신동의 미충족 케이스","TRUE","P2","TRUE","","","TRUE","네이버(주)",""
"QA_DYN_009","qa_dyn_missing_company_001","No Company User","qa_dyn_009@example.com","","","","","","","","","","","https://nocompany.example.com","","","","","","","","","1200000","","","TRUE","회사명 null 허용 여부 검증","TRUE","P2","TRUE","","","TRUE","",""
"QA_DYN_010","qa_dyn_stale_lowscore_001","Lim Doyeon","qa_dyn_010@example.com","","","포스코홀딩스(주)","","","","","","","","https://legacy-sys.example.com","","","","","","","","","200000","","","FALSE","저점수/저금액/오래된 활동 데이터","TRUE","P1","TRUE","","","TRUE","포스코홀딩스(주)",""
